timestamp_current_cycle;timestamp_last_cycle;freq;last_wait_time;time_consumption_current;nominal_duration;waiting_time_current;percentage_load_current_slice;percentage_waiting_current_slice;cycle_counter
-1191786505;-1191805187;50;0;18682;20000;1318;93.41;6.59;1
-1191784605;-1191786505;50;1318;582;20000;19418;2.91;97.09;2
-1191764898;-1191784605;50;19418;289;20000;19711;1.445;98.555;3
-1191744367;-1191764898;50;19711;820;20000;19180;4.1;95.9;4
-1191723909;-1191744367;50;19180;1278;20000;18722;6.39;93.61;5
-1191704435;-1191723909;50;18722;752;20000;19248;3.76;96.24;6
-1191684039;-1191704435;50;19248;1148;20000;18852;5.74;94.26;7
-1191663428;-1191684039;50;18852;1759;20000;18241;8.795;91.205;8
-1191641997;-1191663428;50;18241;3190;20000;16810;15.95;84.05;9
-1191624033;-1191641997;50;16810;1154;20000;18846;5.77;94.23;10
-1191603675;-1191624033;50;18846;1512;20000;18488;7.56;92.44;11
-1191584132;-1191603675;50;18488;1055;20000;18945;5.275;94.725;12
-1191564211;-1191584132;50;18945;976;20000;19024;4.88;95.12;13
-1191544017;-1191564211;50;19024;1170;20000;18830;5.85;94.15;14
-1191524360;-1191544017;50;18830;827;20000;19173;4.135;95.865;15
-1191504225;-1191524360;50;19173;962;20000;19038;4.81;95.19;16
-1191484467;-1191504225;50;19038;720;20000;19280;3.6;96.4;17
-1191464319;-1191484467;50;19280;868;20000;19132;4.34;95.66;18
-1191444452;-1191464319;50;19132;735;20000;19265;3.675;96.325;19
-1191424151;-1191444452;50;19265;1036;20000;18964;5.18;94.82;20
-1191403903;-1191424151;50;18964;1284;20000;18716;6.42;93.58;21
-1191384025;-1191403903;50;18716;1162;20000;18838;5.81;94.19;22
-1191364423;-1191384025;50;18838;764;20000;19236;3.82;96.18;23
-1191344288;-1191364423;50;19236;899;20000;19101;4.495;95.505;24
-1191323855;-1191344288;50;19101;1332;20000;18668;6.66;93.34;25
-1191304070;-1191323855;50;18668;1117;20000;18883;5.585;94.415;26
-1191284229;-1191304070;50;18883;958;20000;19042;4.79;95.21;27
-1191264257;-1191284229;50;19042;930;20000;19070;4.65;95.35;28
-1191243957;-1191264257;50;19070;1230;20000;18770;6.15;93.85;29
-1191224109;-1191243957;50;18770;1078;20000;18922;5.39;94.61;30
-1191204001;-1191224109;50;18922;1186;20000;18814;5.93;94.07;31
-1191184052;-1191204001;50;18814;1135;20000;18865;5.675;94.325;32
-1191164121;-1191184052;50;18865;1066;20000;18934;5.33;94.67;33
-1191144466;-1191164121;50;18934;721;20000;19279;3.605;96.395;34
-1191124301;-1191144466;50;19279;886;20000;19114;4.43;95.57;35
-1191104480;-1191124301;50;19114;707;20000;19293;3.535;96.465;36
-1191084487;-1191104480;50;19293;700;20000;19300;3.5;96.5;37
-1191064369;-1191084487;50;19300;818;20000;19182;4.09;95.91;38
-1191044072;-1191064369;50;19182;1115;20000;18885;5.575;94.425;39
-1191024115;-1191044072;50;18885;1072;20000;18928;5.36;94.64;40
-1191003633;-1191024115;50;18928;1554;20000;18446;7.77;92.23;41
-1190984417;-1191003633;50;18446;770;20000;19230;3.85;96.15;42
-1190964098;-1190984417;50;19230;1089;20000;18911;5.445;94.555;43
-1190944285;-1190964098;50;18911;902;20000;19098;4.51;95.49;44
-1190924227;-1190944285;50;19098;960;20000;19040;4.8;95.2;45
-1190904050;-1190924227;50;19040;1137;20000;18863;5.685;94.315;46
-1190884374;-1190904050;50;18863;813;20000;19187;4.065;95.935;47
-1190864321;-1190884374;50;19187;866;20000;19134;4.33;95.67;48
-1190844033;-1190864321;50;19134;1154;20000;18846;5.77;94.23;49
-1190824396;-1190844033;50;18846;791;20000;19209;3.955;96.045;0
-1190804261;-1190824396;50;19209;926;20000;19074;4.63;95.37;1
-1190784452;-1190804261;50;19074;735;20000;19265;3.675;96.325;2
-1190764085;-1190784452;50;19265;1102;20000;18898;5.51;94.49;3
