timestamp_current_cycle;timestamp_last_cycle;freq;last_wait_time;time_consumption_current;nominal_duration;waiting_time_current;percentage_load_current_slice;percentage_waiting_current_slice;cycle_counter
-1198696698;-1198716770;40;0;20072;25000;4928;80.288;19.712;1
-1198691283;-1198696698;40;4928;487;25000;24513;1.948;98.052;2
-1198642305;-1198691283;40;24513;24465;25000;535;97.86;2.14;3
-1198632728;-1198642305;40;535;9042;25000;15958;36.168;63.832;4
-1198588988;-1198632728;40;15958;27782;25000;-2782;111.128;-11.128;5
-1198561514;-1198588988;40;0;27474;25000;-2474;109.896;-9.896;6
-1198534001;-1198561514;40;0;27513;25000;-2513;110.052;-10.052;7
-1198506437;-1198534001;40;0;27564;25000;-2564;110.256;-10.256;8
-1198477458;-1198506437;40;0;28979;25000;-3979;115.916;-15.916;9
-1198447584;-1198477458;40;0;29874;25000;-4874;119.496;-19.496;10
-1198418746;-1198447584;40;0;28838;25000;-3838;115.352;-15.352;11
-1198390958;-1198418746;40;0;27788;25000;-2788;111.152;-11.152;12
-1198362252;-1198390958;40;0;28706;25000;-3706;114.824;-14.824;13
-1198334315;-1198362252;40;0;27937;25000;-2937;111.748;-11.748;14
-1198307737;-1198334315;40;0;26578;25000;-1578;106.312;-6.312;15
-1198279649;-1198307737;40;0;28088;25000;-3088;112.352;-12.352;16
-1198250489;-1198279649;40;0;29160;25000;-4160;116.64;-16.64;17
-1198222778;-1198250489;40;0;27711;25000;-2711;110.844;-10.844;18
-1198195123;-1198222778;40;0;27655;25000;-2655;110.62;-10.62;19
-1198167288;-1198195123;40;0;27835;25000;-2835;111.34;-11.34;20
-1198139867;-1198167288;40;0;27421;25000;-2421;109.684;-9.684;21
-1198111425;-1198139867;40;0;28442;25000;-3442;113.768;-13.768;22
-1198083782;-1198111425;40;0;27643;25000;-2643;110.572;-10.572;23
-1198055828;-1198083782;40;0;27954;25000;-2954;111.816;-11.816;24
-1198027842;-1198055828;40;0;27986;25000;-2986;111.944;-11.944;25
-1197999968;-1198027842;40;0;27874;25000;-2874;111.496;-11.496;26
-1197973244;-1197999968;40;0;26724;25000;-1724;106.896;-6.896;27
-1197945982;-1197973244;40;0;27262;25000;-2262;109.048;-9.048;28
-1197918210;-1197945982;40;0;27772;25000;-2772;111.088;-11.088;29
-1197890913;-1197918210;40;0;27297;25000;-2297;109.188;-9.188;30
-1197863469;-1197890913;40;0;27444;25000;-2444;109.776;-9.776;31
-1197835861;-1197863469;40;0;27608;25000;-2608;110.432;-10.432;32
-1197808968;-1197835861;40;0;26893;25000;-1893;107.572;-7.572;33
-1197780944;-1197808968;40;0;28024;25000;-3024;112.096;-12.096;34
-1197748697;-1197780944;40;0;32247;25000;-7247;128.988;-28.988;35
-1197719008;-1197748697;40;0;29689;25000;-4689;118.756;-18.756;36
-1197691412;-1197719008;40;0;27596;25000;-2596;110.384;-10.384;37
-1197664206;-1197691412;40;0;27206;25000;-2206;108.824;-8.824;38
-1197633499;-1197664206;40;0;30707;25000;-5707;122.828;-22.828;39
-1197605950;-1197633499;40;0;27549;25000;-2549;110.196;-10.196;0
-1197576820;-1197605950;40;0;29130;25000;-4130;116.52;-16.52;1
-1197548085;-1197576820;40;0;28735;25000;-3735;114.94;-14.94;2
-1197520361;-1197548085;40;0;27724;25000;-2724;110.896;-10.896;3
-1197492802;-1197520361;40;0;27559;25000;-2559;110.236;-10.236;4
-1197465829;-1197492802;40;0;26973;25000;-1973;107.892;-7.892;5
-1197438479;-1197465829;40;0;27350;25000;-2350;109.4;-9.4;6
-1197410326;-1197438479;40;0;28153;25000;-3153;112.612;-12.612;7
-1197382064;-1197410326;40;0;28262;25000;-3262;113.048;-13.048;8
-1197353356;-1197382064;40;0;28708;25000;-3708;114.832;-14.832;9
-1197323557;-1197353356;40;0;29799;25000;-4799;119.196;-19.196;10
-1197294506;-1197323557;40;0;29051;25000;-4051;116.204;-16.204;11
-1197266924;-1197294506;40;0;27582;25000;-2582;110.328;-10.328;12
-1197239243;-1197266924;40;0;27681;25000;-2681;110.724;-10.724;13
-1197211670;-1197239243;40;0;27573;25000;-2573;110.292;-10.292;14
-1197183622;-1197211670;40;0;28048;25000;-3048;112.192;-12.192;15
-1197155790;-1197183622;40;0;27832;25000;-2832;111.328;-11.328;16
-1197127075;-1197155790;40;0;28715;25000;-3715;114.86;-14.86;17
-1197099632;-1197127075;40;0;27443;25000;-2443;109.772;-9.772;18
-1197072202;-1197099632;40;0;27430;25000;-2430;109.72;-9.72;19
-1197044164;-1197072202;40;0;28038;25000;-3038;112.152;-12.152;20
-1197016465;-1197044164;40;0;27699;25000;-2699;110.796;-10.796;21
-1196988914;-1197016465;40;0;27551;25000;-2551;110.204;-10.204;22
-1196961482;-1196988914;40;0;27432;25000;-2432;109.728;-9.728;23
-1196933758;-1196961482;40;0;27724;25000;-2724;110.896;-10.896;24
-1196905667;-1196933758;40;0;28091;25000;-3091;112.364;-12.364;25
-1196877176;-1196905667;40;0;28491;25000;-3491;113.964;-13.964;26
-1196843919;-1196877176;40;0;33257;25000;-8257;133.028;-33.028;27
-1196812588;-1196843919;40;0;31331;25000;-6331;125.324;-25.324;28
-1196783079;-1196812588;40;0;29509;25000;-4509;118.036;-18.036;29
-1196754563;-1196783079;40;0;28516;25000;-3516;114.064;-14.064;30
-1196725531;-1196754563;40;0;29032;25000;-4032;116.128;-16.128;31
-1196696626;-1196725531;40;0;28905;25000;-3905;115.62;-15.62;32
-1196668586;-1196696626;40;0;28040;25000;-3040;112.16;-12.16;33
-1196640488;-1196668586;40;0;28098;25000;-3098;112.392;-12.392;34
-1196612444;-1196640488;40;0;28044;25000;-3044;112.176;-12.176;35
-1196583364;-1196612444;40;0;29080;25000;-4080;116.32;-16.32;36
-1196555225;-1196583364;40;0;28139;25000;-3139;112.556;-12.556;37
-1196525570;-1196555225;40;0;29655;25000;-4655;118.62;-18.62;38
-1196498241;-1196525570;40;0;27329;25000;-2329;109.316;-9.316;39
-1196471696;-1196498241;40;0;26545;25000;-1545;106.18;-6.18;0
-1196443468;-1196471696;40;0;28228;25000;-3228;112.912;-12.912;1
-1196415128;-1196443468;40;0;28340;25000;-3340;113.36;-13.36;2
-1196387616;-1196415128;40;0;27512;25000;-2512;110.048;-10.048;3
-1196359975;-1196387616;40;0;27641;25000;-2641;110.564;-10.564;4
-1196332555;-1196359975;40;0;27420;25000;-2420;109.68;-9.68;5
-1196304878;-1196332555;40;0;27677;25000;-2677;110.708;-10.708;6
-1196277255;-1196304878;40;0;27623;25000;-2623;110.492;-10.492;7
-1196248236;-1196277255;40;0;29019;25000;-4019;116.076;-16.076;8
-1196220704;-1196248236;40;0;27532;25000;-2532;110.128;-10.128;9
-1196193176;-1196220704;40;0;27528;25000;-2528;110.112;-10.112;10
-1196165882;-1196193176;40;0;27294;25000;-2294;109.176;-9.176;11
-1196138539;-1196165882;40;0;27343;25000;-2343;109.372;-9.372;12
-1196109667;-1196138539;40;0;28872;25000;-3872;115.488;-15.488;13
-1196081781;-1196109667;40;0;27886;25000;-2886;111.544;-11.544;14
-1196053518;-1196081781;40;0;28263;25000;-3263;113.052;-13.052;15
-1196024897;-1196053518;40;0;28621;25000;-3621;114.484;-14.484;16
-1195997110;-1196024897;40;0;27787;25000;-2787;111.148;-11.148;17
-1195969665;-1195997110;40;0;27445;25000;-2445;109.78;-9.78;18
-1195941535;-1195969665;40;0;28130;25000;-3130;112.52;-12.52;19
-1195913699;-1195941535;40;0;27836;25000;-2836;111.344;-11.344;20
-1195885094;-1195913699;40;0;28605;25000;-3605;114.42;-14.42;21
-1195857613;-1195885094;40;0;27481;25000;-2481;109.924;-9.924;22
-1195829280;-1195857613;40;0;28333;25000;-3333;113.332;-13.332;23
-1195801281;-1195829280;40;0;27999;25000;-2999;111.996;-11.996;24
-1195773833;-1195801281;40;0;27448;25000;-2448;109.792;-9.792;25
-1195745035;-1195773833;40;0;28798;25000;-3798;115.192;-15.192;26
-1195717710;-1195745035;40;0;27325;25000;-2325;109.3;-9.3;27
-1195690286;-1195717710;40;0;27424;25000;-2424;109.696;-9.696;28
-1195662996;-1195690286;40;0;27290;25000;-2290;109.16;-9.16;29
-1195635641;-1195662996;40;0;27355;25000;-2355;109.42;-9.42;30
-1195606194;-1195635641;40;0;29447;25000;-4447;117.788;-17.788;31
-1195576860;-1195606194;40;0;29334;25000;-4334;117.336;-17.336;32
-1195548817;-1195576860;40;0;28043;25000;-3043;112.172;-12.172;33
-1195521286;-1195548817;40;0;27531;25000;-2531;110.124;-10.124;34
-1195493579;-1195521286;40;0;27707;25000;-2707;110.828;-10.828;35
-1195465543;-1195493579;40;0;28036;25000;-3036;112.144;-12.144;36
-1195438999;-1195465543;40;0;26544;25000;-1544;106.176;-6.176;37
-1195410553;-1195438999;40;0;28446;25000;-3446;113.784;-13.784;38
-1195382328;-1195410553;40;0;28225;25000;-3225;112.9;-12.9;39
-1195353713;-1195382328;40;0;28615;25000;-3615;114.46;-14.46;0
-1195323758;-1195353713;40;0;29955;25000;-4955;119.82;-19.82;1
-1195295896;-1195323758;40;0;27862;25000;-2862;111.448;-11.448;2
-1195268527;-1195295896;40;0;27369;25000;-2369;109.476;-9.476;3
-1195240012;-1195268527;40;0;28515;25000;-3515;114.06;-14.06;4
-1195211437;-1195240012;40;0;28575;25000;-3575;114.3;-14.3;5
-1195184860;-1195211437;40;0;26577;25000;-1577;106.308;-6.308;6
-1195157079;-1195184860;40;0;27781;25000;-2781;111.124;-11.124;7
-1195129338;-1195157079;40;0;27741;25000;-2741;110.964;-10.964;8
-1195102145;-1195129338;40;0;27193;25000;-2193;108.772;-8.772;9
-1195070048;-1195102145;40;0;32097;25000;-7097;128.388;-28.388;10
-1195041239;-1195070048;40;0;28809;25000;-3809;115.236;-15.236;11
-1195009841;-1195041239;40;0;31398;25000;-6398;125.592;-25.592;12
-1194978332;-1195009841;40;0;31509;25000;-6509;126.036;-26.036;13
-1194948586;-1194978332;40;0;29746;25000;-4746;118.984;-18.984;14
-1194921221;-1194948586;40;0;27365;25000;-2365;109.46;-9.46;15
-1194893813;-1194921221;40;0;27408;25000;-2408;109.632;-9.632;16
-1194866273;-1194893813;40;0;27540;25000;-2540;110.16;-10.16;17
-1194839578;-1194866273;40;0;26695;25000;-1695;106.78;-6.78;18
-1194811390;-1194839578;40;0;28188;25000;-3188;112.752;-12.752;19
-1194783719;-1194811390;40;0;27671;25000;-2671;110.684;-10.684;20
-1194756123;-1194783719;40;0;27596;25000;-2596;110.384;-10.384;21
-1194727070;-1194756123;40;0;29053;25000;-4053;116.212;-16.212;22
-1194699633;-1194727070;40;0;27437;25000;-2437;109.748;-9.748;23
-1194672868;-1194699633;40;0;26765;25000;-1765;107.06;-7.06;24
-1194644596;-1194672868;40;0;28272;25000;-3272;113.088;-13.088;25
-1194617959;-1194644596;40;0;26637;25000;-1637;106.548;-6.548;26
-1194590071;-1194617959;40;0;27888;25000;-2888;111.552;-11.552;27
-1194562425;-1194590071;40;0;27646;25000;-2646;110.584;-10.584;28
-1194534667;-1194562425;40;0;27758;25000;-2758;111.032;-11.032;29
-1194506309;-1194534667;40;0;28358;25000;-3358;113.432;-13.432;30
-1194477232;-1194506309;40;0;29077;25000;-4077;116.308;-16.308;31
-1194449109;-1194477232;40;0;28123;25000;-3123;112.492;-12.492;32
-1194421448;-1194449109;40;0;27661;25000;-2661;110.644;-10.644;33
-1194393738;-1194421448;40;0;27710;25000;-2710;110.84;-10.84;34
-1194366092;-1194393738;40;0;27646;25000;-2646;110.584;-10.584;35
-1194338442;-1194366092;40;0;27650;25000;-2650;110.6;-10.6;36
-1194309125;-1194338442;40;0;29317;25000;-4317;117.268;-17.268;37
-1194281250;-1194309125;40;0;27875;25000;-2875;111.5;-11.5;38
-1194252619;-1194281250;40;0;28631;25000;-3631;114.524;-14.524;39
-1194224604;-1194252619;40;0;28015;25000;-3015;112.06;-12.06;0
-1194197018;-1194224604;40;0;27586;25000;-2586;110.344;-10.344;1
-1194169498;-1194197018;40;0;27520;25000;-2520;110.08;-10.08;2
-1194141385;-1194169498;40;0;28113;25000;-3113;112.452;-12.452;3
-1194113890;-1194141385;40;0;27495;25000;-2495;109.98;-9.98;4
-1194086587;-1194113890;40;0;27303;25000;-2303;109.212;-9.212;5
-1194059085;-1194086587;40;0;27502;25000;-2502;110.008;-10.008;6
-1194031550;-1194059085;40;0;27535;25000;-2535;110.14;-10.14;7
-1194003742;-1194031550;40;0;27808;25000;-2808;111.232;-11.232;8
-1193974517;-1194003742;40;0;29225;25000;-4225;116.9;-16.9;9
-1193946474;-1193974517;40;0;28043;25000;-3043;112.172;-12.172;10
-1193918722;-1193946474;40;0;27752;25000;-2752;111.008;-11.008;11
-1193892210;-1193918722;40;0;26512;25000;-1512;106.048;-6.048;12
-1193864494;-1193892210;40;0;27716;25000;-2716;110.864;-10.864;13
-1193837021;-1193864494;40;0;27473;25000;-2473;109.892;-9.892;14
-1193808553;-1193837021;40;0;28468;25000;-3468;113.872;-13.872;15
-1193781753;-1193808553;40;0;26800;25000;-1800;107.2;-7.2;16
-1193753207;-1193781753;40;0;28546;25000;-3546;114.184;-14.184;17
-1193723854;-1193753207;40;0;29353;25000;-4353;117.412;-17.412;18
-1193695685;-1193723854;40;0;28169;25000;-3169;112.676;-12.676;19
-1193667801;-1193695685;40;0;27884;25000;-2884;111.536;-11.536;20
-1193640545;-1193667801;40;0;27256;25000;-2256;109.024;-9.024;21
-1193612987;-1193640545;40;0;27558;25000;-2558;110.232;-10.232;22
